score_name,n_common,pearson_with_target_rank_percentile,spearman_with_target_rank_percentile,path
layerprior_top5mean_alpha2p0__txt_attn_raw_all__C_itext_mass_HminusG,608,0.7949472150808201,0.7949472150808199,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_layerprior_top5mean_alpha2p0__txt_attn_raw_all__C_itext_mass_HminusG.json
itext_all,608,0.7853259697274776,0.7853259697274774,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_itext_all.json
Fusion_text50_ratioC30_imgdrop20,608,0.7796838820621408,0.7796838820621401,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Fusion_text50_ratioC30_imgdrop20.json
Fusion_text40_absC30_relC30,608,0.7756623315660057,0.7756623315660054,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Fusion_text40_absC30_relC30.json
text_all,608,0.7729283157903275,0.7729283157903281,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_text_all.json
local__itext_all__C_logtoi_HminusG,608,0.7625195466083831,0.7625195466083833,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_local__itext_all__C_logtoi_HminusG.json
text_object,608,0.7593771930536448,0.7593771930536449,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_text_object.json
local__txt_attn_raw_all__C_logtoi_HminusG,608,0.7561050982851092,0.7561050982851096,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_local__txt_attn_raw_all__C_logtoi_HminusG.json
Specific_logtoi_delta_x_hall,608,0.7236525493988333,0.7236525493988338,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Specific_logtoi_delta_x_hall.json
local__itext_all__C_itext_mass_HminusG,608,0.702636715204475,0.7026367152044745,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_local__itext_all__C_itext_mass_HminusG.json
local__txt_attn_raw_all__C_itext_mass_HminusG,608,0.6953988640008821,0.6953988640008817,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_local__txt_attn_raw_all__C_itext_mass_HminusG.json
logtoi_hall,608,0.6441004694603062,0.6441004694603065,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_logtoi_hall.json
ratio_hall,608,0.6441004694603062,0.6441004694603065,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_ratio_hall.json
Hall_text_minus_all,608,0.599273491915894,0.5992734919158945,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Hall_text_minus_all.json
C_logtoi_hall_minus_nonhall,608,0.594712047117737,0.5947120471177376,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_C_logtoi_hall_minus_nonhall.json
Object_text_minus_all,608,0.5803874425027516,0.5803874425027519,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Object_text_minus_all.json
Specific_text_delta_x_hall,608,0.5706987637531029,0.5706987637531027,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Specific_text_delta_x_hall.json
Fusion_ratio_policy,608,0.5444005400651546,0.5444005400651547,../ADHH/LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Fusion_ratio_policy.json
