bucket,n,adhh_overlap,adhh_recall,adhh_fraction,mean_rank,q50_rank,mean_score,q50_score,mean_front_percentile,q50_front_percentile,mean_back_percentile,q50_back_percentile,mean_itext_all,q50_itext_all,mean_itext_hallucinated,q50_itext_hallucinated,mean_itext_non_hallucinated,q50_itext_non_hallucinated,mean_raw_toi_hallucinated,q50_raw_toi_hallucinated,mean_raw_toi_non_hallucinated,q50_raw_toi_non_hallucinated,mean_log_toi_hallucinated,q50_log_toi_hallucinated,mean_log_toi_non_hallucinated,q50_log_toi_non_hallucinated,mean_img_hallucinated,q50_img_hallucinated,mean_img_non_hallucinated,q50_img_non_hallucinated,mean_itext_gap_hall_minus_nonhall,mean_raw_toi_gap_hall_minus_nonhall,mean_img_drop_hall_vs_nonhall,min_layer,max_layer,mean_layer
top20,20,5,0.25,0.25,10.5,11.0,0.9668039538714991,0.9695222405271828,0.9586490939044481,0.9670510708401977,0.9749588138385501,0.9769357495881383,0.597945637799991,0.5831776485311658,0.6791797455661757,0.7048475230911778,0.6527129883046725,0.6764305626403138,370.88891002613974,100.58957371160689,88.30432169415946,57.66938215077277,3.3285758961677545,3.626270590769011,2.7377489595960034,3.0248585320163777,0.03440831156367134,0.02393654551409336,0.07277003548647856,0.05517759132867752,0.02646675726150279,282.5845883319803,0.03836172392280722,14,31,23.6
top30,30,6,0.3,0.2,15.5,15.0,0.9518671059857221,0.9497528830313015,0.9506315211422296,0.9604612850082372,0.9531026908292148,0.9654036243822076,0.5727911978769581,0.5570726927563989,0.6545193730994432,0.6353547749299899,0.6346662526673963,0.6249831657201143,264.62644610726755,77.58100806842718,72.65191081559985,47.83030129408151,3.274465545733657,3.3600310213941174,2.761408371390487,2.903972650345705,0.032526734281731015,0.020170541430784276,0.061666402905509135,0.030368118413803734,0.01985312043204671,191.9745352916677,0.029139668623778106,13,31,22.633333333333333
top50,50,10,0.5,0.2,25.5,25.0,0.9282372322899505,0.9217462932454695,0.919505766062603,0.9242174629324547,0.9369686985172986,0.9472817133443163,0.5136476489768953,0.4867638914258864,0.6014655626185909,0.5715534886809234,0.5816976029281238,0.5685689865226098,176.4132480654211,55.735975556679115,56.03535626624557,35.957893624422496,3.0623586351298555,3.197756342735864,2.597497562596564,2.761780921399948,0.040025984771352094,0.02298435722238002,0.07079408881540428,0.03214105244587665,0.019767959690467185,120.37789179917554,0.030768104044052155,13,31,22.46
top100,100,14,0.7,0.14,50.5,51.0,0.8680642504118616,0.8789126853377265,0.8462602965403621,0.8599670510708401,0.889868204283361,0.9126853377265238,0.42295125105625153,0.4041421681232524,0.49981437317589233,0.4987831670544883,0.47064131561145145,0.46192287388362885,102.16028737740993,27.92384734402394,37.2477529858775,16.788161388968597,2.5459416460802737,2.4979555098908826,2.135146935642355,2.071828235636839,0.06156640143659172,0.03853977839276001,0.09936409036128366,0.057677499792806695,0.029173057564440538,64.91253439153247,0.03779768892469194,13,31,20.53
top150,150,16,0.8,0.10666666666666667,75.5,75.0,0.8159692476661176,0.8031301482701811,0.7834816035145524,0.7957166392092256,0.8484568918176825,0.8632619439868204,0.36054355103687535,0.3469487326305888,0.42134532138470226,0.3965904111361293,0.3912191931667413,0.36699507983277974,71.21642442406628,13.573104912871889,27.01402402690299,9.821399119434734,2.2628660051569014,2.092322278241563,1.8652185298888477,1.707464055275995,0.06584577791104798,0.04412836964652368,0.1067051033369655,0.05806226525344681,0.030126128217960742,44.202400397163316,0.04085932542591751,13,31,20.413333333333334
top200,200,16,0.8,0.08,100.5,101.0,0.7682784184514001,0.7462932454695221,0.7279324546952224,0.7397034596375618,0.8086243822075784,0.828665568369028,0.3143710690854101,0.28831254105775855,0.36230388114090345,0.3106895102942542,0.3327543947350996,0.2909853062045447,54.687092658100745,10.230722094924918,21.1387209059895,6.230667246838034,2.054255041833662,1.874065814226232,1.6720653918034705,1.4453497095626042,0.06482633056085181,0.0476835268398033,0.10286357598299854,0.06066518589949038,0.029549486405803838,33.54837175211125,0.03803724542214668,13,31,20.795
rank>200,408,4,0.2,0.00980392156862745,404.5,405.0,0.3684909713473523,0.3731466227347611,0.3882684045611652,0.33772652388797364,0.34871353813354,0.33607907742998355,0.1326847373134714,0.06974013675837781,0.13150685677199467,0.057315390803078715,0.1390110670824961,0.04963658204783552,10.4409588786427,2.1087999277738922,12.761898199435187,1.5648663379870864,1.2850877586610951,1.0261527599501763,1.1657019260192218,0.8120444925137783,0.038423639236788244,0.02479771796267168,0.04906741722723468,0.029084959683076464,-0.007504210310501439,-2.320939320792478,0.010643777990446513,13,31,22.590686274509803
