head_key,head_id,rank,score,front_percentile,back_percentile,itext_all,raw_toi_gap,img_drop
14:16,L14H16,2,0.9917627677100493,0.9934102141680395,0.9901153212520593,0.729631327221292,72.21176593515344,0.00875863354568212
26:9,L26H9,7,0.9777594728171335,0.957166392092257,0.9983525535420099,0.5466727521000373,355.14257281608843,0.009340078041510613
15:25,L15H25,11,0.9686985172981878,0.9670510708401977,0.9703459637561779,0.5831776485311658,33.0389069389596,0.001536714982021287
26:28,L26H28,12,0.9662273476112027,0.9373970345963756,0.9950576606260296,0.5014461534044352,134.39065510096074,0.04653147965004931
18:9,L18H9,16,0.9497528830313015,0.9242174629324547,0.9752883031301482,0.4867638914258864,35.11708737772118,0.017164911594593782
19:27,L19H27,26,0.9217462932454695,0.9621087314662273,0.8813838550247117,0.5748374991806062,4.342168753480763,0.008987637970765426
30:9,L30H9,31,0.9168039538714992,0.9192751235584844,0.914332784184514,0.4751516090733151,7.175522905172812,0.022885616488247766
31:3,L31H3,36,0.9044481054365733,0.8962108731466227,0.9126853377265238,0.4359049841332997,7.158301397265657,0.009527995261247129
15:24,L15H24,39,0.8978583196046128,0.942339373970346,0.8533772652388798,0.5107035028828273,3.3786458723946566,0.018827523711843555
31:26,L31H26,44,0.8813838550247117,0.8369028006589786,0.9258649093904449,0.37952546134349013,9.827680811498208,0.0147603692031174
19:18,L19H18,59,0.8665568369028007,0.9703459637561779,0.7627677100494235,0.5919663230419636,1.6823004671415163,-0.0027649196796420764
20:12,L20H12,60,0.857495881383855,0.8500823723228995,0.8649093904448105,0.39892707414732725,3.7646569077234653,0.18347922812394432
27:29,L27H29,77,0.8006589785831961,0.7347611202635914,0.8665568369028007,0.2828357354926147,3.826521388315143,9.317040344848648e-05
16:29,L16H29,97,0.7594728171334432,0.7693574958813838,0.7495881383855025,0.31081336259185105,1.5490061159385844,-0.007236800583451608
22:20,L22H20,116,0.7306425041186162,0.6293245469522241,0.8319604612850082,0.20751926681522398,2.8583614659440553,-0.0016439371657987097
17:0,L17H0,128,0.7059308072487644,0.8039538714991763,0.6079077429983526,0.35613146043810084,0.7530619815451556,0.11824816368949304
17:28,L17H28,212,0.5724876441515651,0.9686985172981878,0.17627677100494232,0.5909815668973893,-2.5868411111259206,0.0029531912503654063
15:10,L15H10,222,0.5593080724876441,0.943986820428336,0.17462932454695224,0.5115729876806792,-1.4805135350636132,0.018179347072114035
18:26,L18H26,255,0.5288303130148271,0.9110378912685337,0.1466227347611203,0.462955185220722,-3.785159730749953,0.0029851342471970653
13:31,L13H31,260,0.5255354200988468,0.9060955518945635,0.1449752883031301,0.4545368458441394,-3.2121148185257464,0.004135940453339294
