bucket,n,adhh_overlap,mean_itext_all,mean_itext_hallucinated,mean_itext_non_hallucinated,mean_itext_gap_hall_minus_grounded,mean_img_hallucinated,mean_img_grounded,mean_image_drop_grounded_minus_hall,mean_log_toi_gap_hall_minus_grounded,mean_raw_toi_gap_hall_minus_grounded,positive_raw_toi_gap,positive_image_drop
top20,20,5,0.597945637799991,0.6791797455661757,0.6527129883046725,0.02646675726150279,0.03440831156367134,0.07277003548647856,0.03836172392280722,0.5908269365717502,282.5845883319803,20,19
top100,100,14,0.42295125105625153,0.49981437317589233,0.47064131561145145,0.029173057564440538,0.06156640143659172,0.09936409036128366,0.03779768892469194,0.41079471043791793,64.91253439153247,100,88
top150,150,16,0.36054355103687535,0.42134532138470226,0.3912191931667413,0.030126128217960742,0.06584577791104798,0.1067051033369655,0.04085932542591751,0.3976474752680524,44.202400397163316,150,133
top100_to_150_shell,50,2,0.23572815099812314,0.2644072178023219,0.23237494827732086,0.03203226952500116,0.07440453085996059,0.1213871292883293,0.046982598428368716,0.37135300492832113,2.7821324084249865,50,45
rank_gt_200_tail,408,4,0.1326847373134714,0.13150685677199467,0.1390110670824961,-0.007504210310501439,0.038423639236788244,0.04906741722723468,0.010643777990446513,0.11938583264187375,-2.320939320792478,297,306
