category,n_heads,mean_combo_rank,mean_text_rank,mean_contrast_rank,mean_itext_all,mean_itext_gap_hall_minus_grounded,mean_image_drop_grounded_minus_hall,mean_log_toi_gap_hall_minus_grounded,mean_raw_toi_gap_hall_minus_grounded,positive_raw_toi_gap_fraction,positive_image_drop_fraction
combined_selected,100,50.5,94.32,67.85,0.42295125105625153,0.029173057564440538,0.03779768892469194,0.41079471043791793,64.91253439153247,1.0,0.88
text_only_high,43,238.95348837209303,55.18604651162791,493.09302325581393,0.48936340066977596,-0.05505223237086549,0.00785302597120673,0.007257506737535547,-14.045300479168219,0.11627906976744186,0.6744186046511628
contrast_only_high,24,169.95833333333334,361.7916666666667,69.33333333333333,0.10214393090637613,0.052373598553855726,0.017363677431151043,0.49728815322643943,5.542862947847304,1.0,0.7916666666666666
tail,441,375.8095238095238,373.35147392290247,352.57142857142856,0.1161459885823125,0.0023608919380653155,0.016816175140482545,0.16285916148068558,-0.584134062944292,0.8344671201814059,0.780045351473923
