layer,head,head_id,score,Itext_all,Itext_object,Itext_hallucinated,Itext_non_hallucinated,Img_hallucinated,Img_non_hallucinated,RawTOI_hallucinated,RawTOI_non_hallucinated,image_drop_GminusH,C_toi_HminusG,global_rank
31,4,L31H4,0.9720582532487302,0.9720582532487302,0.9880757793028231,0.9866055179943983,0.988387191923232,0.008661324350998319,0.0070131938049725045,360.8321787666793,420.3446155700089,-0.0016481305460258142,-59.51243680332959,1
31,27,L31H27,0.9706890693722942,0.9706890693722942,0.9692918236293965,0.9756703079603184,0.9679408117321593,0.004432070272407313,0.00931471490090893,582.9309208496492,415.50929948085866,0.004882644628501618,167.4216213687905,2
5,15,L5H15,0.9508023463092958,0.9508023463092958,0.9233771420375358,0.9148848042234607,0.9251758843134325,0.0163495356495353,0.012921449021457247,214.7902601039522,251.8448485735039,-0.0034280866280780517,-37.0545884695517,3
1,25,L1H25,0.8632994035792307,0.8632994035792307,0.7955472241808337,0.8034905400769464,0.7938647689575549,0.13627587096101937,0.13494255451334736,5.605046305507171,5.321523333118638,-0.0013333164476720116,0.28352297238853374,4
0,25,L0H25,0.8306282312599303,0.8306282312599303,0.8355153606861216,0.8552225548131712,0.8313412258375439,0.14242538518604192,0.16638661816725264,6.3790806040546855,5.2119413862243595,0.023961232981210723,1.167139217830326,5
1,18,L1H18,0.8169071012172129,0.8169071012172129,0.8726393308159336,0.8721249336483835,0.8727482840808803,0.03896745474174105,0.034528628163996516,22.588336796556657,47.38975390065964,-0.004438826577744533,-24.801417104102985,6
15,11,L15H11,0.794517766814237,0.794517766814237,0.646338127983808,0.6162656910460571,0.6527077007496858,0.018361720288621968,0.013389172400923233,56.63534374031454,78.30170204168134,-0.004972547887698735,-21.6663583013668,7
1,30,L1H30,0.7928126664585993,0.7928126664585993,0.7318481698460102,0.7630503492793818,0.7252393089556796,0.16465334628505268,0.1953233961861669,4.228291954103582,2.9196145675939547,0.030670049901114216,1.3086773865096277,8
10,1,L10H1,0.7841413731023472,0.7841413731023472,0.8113629234040699,0.8001230253741659,0.8137436200044391,0.01999799273479944,0.017556480949997393,56.636622639355004,58.573079380275004,-0.0024415117848020466,-1.9364567409200006,9
29,15,L29H15,0.7773600355150222,0.7773600355150222,0.8171942096478613,0.8340194793096904,0.8136304885022029,0.04941060787987435,0.06678459269566574,46.88113893517916,33.90939902241583,0.017373984815791388,12.971739912763326,10
0,12,L0H12,0.7771216958643039,0.7771216958643039,0.7901820271892921,0.8287806418435327,0.7820065445966715,0.1612098211015778,0.20636302118466818,5.570603240879273,4.131887060153146,0.04515320008309037,1.4387161807261268,11
1,22,L1H22,0.7715718247413523,0.7715718247413523,0.7862971878003858,0.7724725145889425,0.7892253596065832,0.2232343132297198,0.20684246123018457,3.7957174779940117,4.252190454023057,-0.016391851999535217,-0.45647297602904535,12
0,19,L0H19,0.7659428410952639,0.7659428410952639,0.7668697416991939,0.8182080338398615,0.7559958977156562,0.17649364377232804,0.23815532056790478,5.047841950928164,3.451367519815715,0.06166167679557674,1.5964744311124486,13
1,7,L1H7,0.7608564986489746,0.7608564986489746,0.7352912764882156,0.7513794436536986,0.7318836793040475,0.0946768462315373,0.10321840233942102,7.719580051975153,6.436434614514982,0.008541556107883722,1.2831454374601705,14
1,14,L1H14,0.7554826676390874,0.7554826676390874,0.7987286332173302,0.8146013965209326,0.7953666602230188,0.07852803222064314,0.08736530064230494,8.757381340568978,7.181940770751025,0.008837268421661798,1.5754405698179532,15
1,17,L1H17,0.7383643681263201,0.7383643681263201,0.733702316528466,0.7536342326423218,0.7294805838397125,0.16694331862803163,0.18258672780331794,3.278821289405278,2.5239673288811435,0.01564340917528631,0.7548539605241347,16
14,16,L14H16,0.7314498485701003,0.7314498485701003,0.7980709366317014,0.8636775584570293,0.7841749509985826,0.02092089529695182,0.028583024996341327,111.67994954721648,42.402835265785136,0.007662129699389508,69.27711428143135,17
10,30,L10H30,0.7263721851984398,0.7263721851984398,0.8190310737225711,0.8559476701521326,0.8112118554891643,0.04255224909933134,0.035824874716420325,27.017196677857896,30.143713994841804,-0.006727374382911017,-3.1265173169839073,18
1,29,L1H29,0.7118513719658512,0.7118513719658512,0.7106279878536101,0.7316276637473326,0.7061800954549399,0.11053362711407673,0.12104575235308196,5.869345663803287,4.903241033198098,0.01051212523900523,0.966104630605189,19
1,0,L1H0,0.6995890839262606,0.6995890839262606,0.3995350530733121,0.42492591632508686,0.39415707351663676,0.29867066348763716,0.314590953703124,1.2146464059473057,1.04769985095702,0.015920290215486854,0.16694655499028577,20
1,23,L1H23,0.6931086311516034,0.6931086311516034,0.6670169794846874,0.7140062086541077,0.6570643003909818,0.15268267588368778,0.18451826008659125,4.430091547360058,3.5176311241290636,0.03183558420290347,0.9124604232309941,21
31,0,L31H0,0.6900602237118196,0.6900602237118196,0.7102455190532115,0.7242481718803274,0.7072796497995071,0.016349581551962887,0.022421575289126656,69.55870068206575,48.04847991531496,0.006071993737163769,21.51022076675079,22
13,8,L13H8,0.6883237296710997,0.6883237296710997,0.802316853010373,0.7540196035613959,0.8125465808303634,0.008628875102804995,0.009381461763846315,291.4945601924136,425.763475568975,0.0007525866610413202,-134.26891537656144,23
1,1,L1H1,0.678242791076767,0.678242791076767,0.7588961887215921,0.776157528504558,0.7552401045800997,0.12847262235551044,0.1424917858944241,5.178193646697481,4.273270379439078,0.014019163538913665,0.9049232672584031,24
1,19,L1H19,0.6717377581802441,0.6717377581802441,0.5487095641467153,0.569515136552268,0.5443027843553992,0.1737631268199833,0.18052025615479694,3.5081464353630643,3.4553941028502773,0.00675712933481365,0.05275233251278699,25
14,20,L14H20,0.6710785420657694,0.6710785420657694,0.7274486180348111,0.7732819337611911,0.7177407702729242,0.030700314404635595,0.055953077985539494,72.72066484084452,36.25264015769355,0.0252527635809039,36.46802468315097,26
0,18,L0H18,0.6696212820854468,0.6696212820854468,0.5958881151849813,0.6586280941278085,0.5825993064983691,0.30262898002890337,0.370346213685835,2.2251777412594556,1.6076409272435177,0.06771723365693161,0.6175368140159379,27
0,15,L0H15,0.6680200248756383,0.6680200248756383,0.6618776470198217,0.7306955139869931,0.6473014950389478,0.264919923382929,0.34815224968871905,2.9410695833301994,1.9967693240097666,0.08323232630579003,0.9443002593204328,28
13,17,L13H17,0.6627801109679452,0.6627801109679452,0.7266140700075149,0.7462736100986086,0.7224500286492065,0.028870317014469498,0.030382329961982212,27.584654544983348,24.326153134077746,0.0015120129475127142,3.258501410905602,29
1,2,L1H2,0.6586819578111632,0.6586819578111632,0.6536890909128127,0.6749322923949395,0.6491896179269453,0.2925481869057677,0.318866858069518,2.3062316732679373,1.8627977189605458,0.02631867116375025,0.4434339543073915,30
24,23,L24H23,0.6464083893602033,0.6464083893602033,0.7990873012484048,0.7847286605800705,0.8021285714569139,0.014508087915935736,0.014577938446676448,80.08615929566157,57.44444223327776,6.985053074071157e-05,22.64171706238381,31
1,9,L1H9,0.6440193348754052,0.6440193348754052,0.6720881596215103,0.7158961131654936,0.6628092991021517,0.18766739553418652,0.2086695075688098,3.1165725860309546,2.2572688304524093,0.021002112034623294,0.8593037555785452,32
31,13,L31H13,0.6411810133950958,0.6411810133950958,0.7676273484376134,0.7910763286482329,0.7626606746011584,0.013982178750394404,0.019314170119534596,203.4635384284609,116.77896627177266,0.005331991369140192,86.68457215668825,33
16,9,L16H9,0.6256430961035923,0.6256430961035923,0.6839495194221729,0.7573732787678982,0.6683978041134009,0.09811777981190846,0.14297084358866013,19.436844601839915,15.966701564495125,0.044853063776751675,3.4701430373447906,34
28,25,L28H25,0.6241648172006643,0.6241648172006643,0.7649242703876323,0.7162906071064116,0.7752252532372153,0.027581884600650305,0.06625485510921884,90.76873538777267,54.40483724745921,0.038672970508568535,36.36389814031345,35
1,26,L1H26,0.6210765752575075,0.6210765752575075,0.5902579733620092,0.6438571099919834,0.5789052651774499,0.1478471547022633,0.17161425304209685,3.259119756968091,2.189166374621773,0.023767098339833537,1.069953382346318,36
29,10,L29H10,0.620682460781515,0.620682460781515,0.7303372524091193,0.7141035679599335,0.7337756712699328,0.06128735078134756,0.1404771580793331,74.78618727256813,28.03490735477214,0.07918980729798553,46.75127991779598,37
1,10,L1H10,0.6197335374778746,0.6197335374778746,0.4062311950788493,0.42654617233523007,0.4019283271024522,0.24425667395879483,0.2642639252882648,1.4594874636985649,1.2104187908608375,0.020007251329469983,0.24906867283772738,38
1,4,L1H4,0.6157472896931657,0.6157472896931657,0.6123319700218097,0.6400522545151327,0.6064606011820797,0.2495023277641713,0.273313026963685,2.216918430110351,1.6701757901488987,0.023810699199513674,0.5467426399614523,39
19,16,L19H16,0.6089803354599453,0.6089803354599453,0.598094678146644,0.5522597839777497,0.6078028602347604,0.012387931603809884,0.013537716807494857,57.39010851596114,60.582081734494665,0.0011497852036849738,-3.1919732185335263,40
16,3,L16H3,0.6083913175631406,0.6083913175631406,0.589814970536426,0.45598324696565495,0.6181615559306003,0.06317786392809331,0.10386068702687305,30.25275011255499,76.20622380921972,0.04068282309877974,-45.95347369666473,41
0,3,L0H3,0.6077833488484418,0.6077833488484418,0.5922749220935739,0.6912818900470076,0.5713044870066628,0.30322468392122753,0.42282247492545855,2.6273572899858992,1.6819856731997898,0.11959779100423101,0.9453716167861095,42
26,4,L26H4,0.6049922666069208,0.6049922666069208,0.6221923035841261,0.5737845967042035,0.6324454271350775,0.023070131910258328,0.032540999638620706,71.06902459536636,61.71597318606302,0.009470867728362378,9.35305140930334,43
0,29,L0H29,0.5942034202232437,0.5942034202232437,0.5320364036852244,0.5854114574091188,0.5207311579786418,0.4113308710270914,0.47573167401265604,1.5960027559796006,1.1955420999773705,0.06440080298556461,0.40046065600223013,44
16,6,L16H6,0.59269326290734,0.59269326290734,0.5927303179252812,0.654360029461055,0.5796766723900109,0.08693088753812614,0.11109021222598656,10.503176779263034,6.413142470516277,0.024159324687860417,4.090034308746757,45
