group,bucket,n_heads,Itext,Img,RawTOI,LogTOI
selected,hallucinated,100,0.3912097383678453,0.0747585517069525,23.978185570550338,2.660345043179236
selected,grounded,100,0.36520132712312253,0.10174791271876359,17.8245507536239,2.361327070607752
non-selected,hallucinated,156,0.3044606566738592,0.08051019975203885,16.02023532490071,1.9730642820253887
non-selected,grounded,156,0.32048383113244955,0.08713959041775306,24.60861281500634,2.2084631447154752
