group,n_heads,positive_Itext_gap_count,positive_Itext_gap_rate,positive_image_drop_count,positive_image_drop_rate,positive_RawTOI_gap_count,positive_RawTOI_gap_rate,positive_LogTOI_gap_count,positive_LogTOI_gap_rate
selected,100,67,0.67,80,0.8,97,0.97,97,0.97
non-selected,156,66,0.4230769230769231,71,0.4551282051282051,26,0.16666666666666666,26,0.16666666666666666
