rank,head_id,layer,head,fused_score,Itext_all,text_percentile,C_toi_HminusG,contrast_percentile,Itext_hallucinated,Itext_grounded,Img_hallucinated,Img_grounded,LogTOI_gap_HminusG,RawTOI_gap_HminusG
59,L16H5,16,5,0.7585532746823069,0.29765689661210115,0.7311827956989247,0.8320266146647994,0.7859237536656891,0.2308866770799495,0.2238889677897512,0.16840793278591693,0.3150414124380943,0.2873062688020126,0.8320266146647994
60,L10H23,10,23,0.7580645161290323,0.2125603130826718,0.6001955034213099,4.107090072553351,0.9159335288367546,0.4094787560218622,0.27577423824611325,0.02743218752963484,0.024878667220057056,0.29594001805034287,4.107090072553351
61,L12H20,12,20,0.7531769305962854,0.2845933724460444,0.7194525904203324,0.8420771423554765,0.7869012707722385,0.2779135684336513,0.2893291214824389,0.02462922886383435,0.03006293079373557,0.06688553485328663,0.8420771423554765
62,L9H16,9,16,0.7517106549364614,0.340835589100466,0.7781036168132942,0.5488704408193144,0.7253176930596286,0.32443473802125156,0.35797518033888087,0.020155057434208135,0.021949732853047674,0.028426217618125804,0.5488704408193144
63,L12H29,12,29,0.7517106549364614,0.24015059096581412,0.6451612903225806,1.5315403780248573,0.8582600195503421,0.5469000019317816,0.5569420072286488,0.008583795433202066,0.009044274021793345,0.014787963385098912,1.5315403780248573
64,L16H29,16,29,0.749266862170088,0.3226912012733834,0.761485826001955,0.5925426046114222,0.7370478983382209,0.3485337121427552,0.2602653326934942,0.07714604296960122,0.06555190998748694,0.0894024305853327,0.5925426046114222
65,L13H26,13,26,0.7448680351906158,0.28783501744620277,0.7233626588465298,0.7129218440162859,0.7663734115347018,0.4157800482324332,0.37155953674010056,0.013032938330626685,0.013247080272136454,0.015801065840376882,0.7129218440162859
66,L11H21,11,21,0.7419354838709677,0.3964591373631094,0.8387096774193549,0.33536087404664006,0.6451612903225806,0.45411725231438627,0.43595549589095833,0.08413526686755093,0.09181999793931758,0.05553013358888781,0.33536087404664006
67,L15H19,15,19,0.7350928641251222,0.32351508860122025,0.7634408602150538,0.5050680542305717,0.7067448680351907,0.3368757721806361,0.3019634987222416,0.10728192329406738,0.22179699368650022,0.05317384163095351,0.5050680542305717
68,L9H4,9,4,0.7302052785923754,0.17977013115622675,0.533724340175953,4.742495337763379,0.9266862170087976,0.3896256266546643,0.29536867458061133,0.04401447851795796,0.05849783272383599,0.5756360271764325,4.742495337763379
69,L12H28,12,28,0.7302052785923754,0.16643410690541796,0.5063538611925709,10.19647756620008,0.9540566959921799,0.44145828830309153,0.2056868666543641,0.02916660978774394,0.027329651503589566,0.6912396988442158,10.19647756620008
